,company,name_office,city,address,location,latitude,longitude
0,Google,Google Melbourne,Melbourne,"Rialto South Tower, Level 27","{'type': 'Point', 'coordinates': [-37.879234, 145.073608]}",-37.879234,145.073608
1,Google,Google Sydney,Sydney,"Levels 11 & 18, Tower 1, Darling Park","{'type': 'Point', 'coordinates': [-34.822723, 138.612396]}",-34.822723,138.612396
12,AboutWeblogs,,Mawson Lakes,45 Grasswren Way,"{'type': 'Point', 'coordinates': [-34.819499, 138.612894]}",-34.819499,138.612894
15,Ephox,Aussie Office,Paddington,261 Given Tce,"{'type': 'Point', 'coordinates': [-27.460736, 153.004254]}",-27.460736,153.004254
18,99designs,Australia,Collingwood,204 Wellington St.,"{'type': 'Point', 'coordinates': [-37.8026587, 144.9868546]}",-37.8026587,144.9868546
21,Buongiorno,Australia,North Sydney NSW,Level 4,"{'type': 'Point', 'coordinates': [-33.804474, 151.104553]}",-33.804474,151.104553
26,Scouta,Australia/Asia Office,Perth,90 King Street,"{'type': 'Point', 'coordinates': [-31.952282, 115.855002]}",-31.952282,115.855002
29,Austhink Software,HQ,"Melbourne, Victoria",L 9 255 Bourke St,"{'type': 'Point', 'coordinates': [-37.813603, 144.96616]}",-37.813603,144.96616
31,Artabase,,"Southbank,  VIC","Level 19,","{'type': 'Point', 'coordinates': [-37.803294, 144.99974]}",-37.803294,144.99974
34,Fujitsu,,North Sydney,"Level 16, 15 Blue Street","{'type': 'Point', 'coordinates': [-33.840821, 151.20646]}",-33.840821,151.20646
36,Twitlinks,Sydney,Manly,PO BOX 290,"{'type': 'Point', 'coordinates': [-33.329799, 151.505125]}",-33.329799,151.505125
56,PageUp People,,"Melbourne, VIC",Level 10,"{'type': 'Point', 'coordinates': [-38.372965, 144.816292]}",-38.372965,144.816292
61,Syntac Ventures,HQ,Melbourne,,"{'type': 'Point', 'coordinates': [-37.813339, 144.970823]}",-37.813339,144.970823
62,WhatYah!,Perth Office,Perth,"Perth, Australia","{'type': 'Point', 'coordinates': [-41.565586, 147.196096]}",-41.565586,147.196096
63,Exinda,APAC,Abbotsford,13 Harper Street,"{'type': 'Point', 'coordinates': [-37.804233, 144.998935]}",-37.804233,144.998935
65,Geekdom,Headquarters,Sydney,Level 150 George Street,"{'type': 'Point', 'coordinates': [-33.860404, 151.208584]}",-33.860404,151.208584
66,UNOS Development,Myunos Australia Pty Ltd,NSW,Loblay Cresent,"{'type': 'Point', 'coordinates': [-33.641732, 151.313553]}",-33.641732,151.313553
67,Brand New Media,,NORTH SYDNEY NSW,"Level 11,","{'type': 'Point', 'coordinates': [-33.803891, 151.104925]}",-33.803891,151.104925
68,BuiltWith,,Manly,PO BOX 290,"{'type': 'Point', 'coordinates': [-33.797144, 151.28804]}",-33.797144,151.28804
69,GENNIT,,Manly,PO BOX 290,"{'type': 'Point', 'coordinates': [-33.329799, 151.505125]}",-33.329799,151.505125
70,Faulkner Technologies,Brisbane Office,New Farm,P.O. Box 2278,"{'type': 'Point', 'coordinates': [-27.467878, 153.047052]}",-27.467878,153.047052
71,MyTickets,Sydney Office,Sydney,"Level 10, 45 Market Street,","{'type': 'Point', 'coordinates': [-33.871062, 151.207016]}",-33.871062,151.207016
72,Feedity,,Melbourne,,"{'type': 'Point', 'coordinates': [-37.813339, 144.970823]}",-37.813339,144.970823
74,mental images,mental images Pty Ltd,Melbourne,140 Bourke Street,"{'type': 'Point', 'coordinates': [-37.812332, 144.968956]}",-37.812332,144.968956
78,Digital Ventures,,MYAREE,"17 Aldous Place,","{'type': 'Point', 'coordinates': [-32.039853, 115.825529]}",-32.039853,115.825529
81,Travellerspoint,,Melbourne,910/365 Little Collins Street,"{'type': 'Point', 'coordinates': [-37.802626, 144.950938]}",-37.802626,144.950938
83,StreetAdvisor,,"Richmond, VIC",600 Victoria St,"{'type': 'Point', 'coordinates': [-37.811805, 145.011393]}",-37.811805,145.011393
84,XY InterAct,Head Office,Sydney,27b Makinson Street,"{'type': 'Point', 'coordinates': [-33.830606, 151.13278]}",-33.830606,151.13278
85,Kapish,Headquarters,Docklands,Suite 207a,"{'type': 'Point', 'coordinates': [-37.812649, 144.943656]}",-37.812649,144.943656
86,SMS Poll,HQ,Meadowbank NSW,15 / 23 Angas Street,"{'type': 'Point', 'coordinates': [-33.817773, 151.091193]}",-33.817773,151.091193
87,Triana Global,Sydney Office,,,"{'type': 'Point', 'coordinates': [-33.869027, 151.210245]}",-33.869027,151.210245
88,DH Technology,,Hornsby,39 Leighton Place,"{'type': 'Point', 'coordinates': [-33.694387, 151.117434]}",-33.694387,151.117434
89,Dexterra,Dexterra Asia Pacific,Sydney,2 Park Street,"{'type': 'Point', 'coordinates': [-33.872864, 151.207543]}",-33.872864,151.207543
91,Retriever Communications,Head Office,Frenchs Forest,14 Aquatic Dr,"{'type': 'Point', 'coordinates': [-33.753529, 151.237264]}",-33.753529,151.237264
92,Coremetrics,Australia and New Zealand,Melbourne,"Level 27, 101 Collins Street","{'type': 'Point', 'coordinates': [-37.814541, 144.9705]}",-37.814541,144.9705
93,CarbonFlow,,Sydney,,"{'type': 'Point', 'coordinates': [-33.867139, 151.207114]}",-33.867139,151.207114
94,Enikos,Sydney Office,Sydney,18 Bulletin place,"{'type': 'Point', 'coordinates': [-33.8627, 151.209705]}",-33.8627,151.209705
95,Amnesia Group,,East Sydney,"20 Hargraue Street,","{'type': 'Point', 'coordinates': [-33.876658, 151.213362]}",-33.876658,151.213362
96,Event Innovation,Australian Office,Sydney,167 Macquarie Street,"{'type': 'Point', 'coordinates': [-33.866, 151.212159]}",-33.866,151.212159
100,Ourexplorer,,Sydney,"10 Hamilton Street,","{'type': 'Point', 'coordinates': [-33.914273, 151.25679]}",-33.914273,151.25679
101,CodeSense,,Sydney,,"{'type': 'Point', 'coordinates': [-33.629723, 151.323938]}",-33.629723,151.323938
102,Interspire,"Sydney, NSW","Surry Hills, NSW","Level 9, 162-166 Goulburn St","{'type': 'Point', 'coordinates': [-33.878684, 151.21231]}",-33.878684,151.21231
103,Dedication Group,Sydney,Sydney,"Level 3, 75-85 Elizabeth St","{'type': 'Point', 'coordinates': [-33.888821, 151.213328]}",-33.888821,151.213328
107,frankst0ned,Frankston Office,Frankston,28 Beach St,"{'type': 'Point', 'coordinates': [-38.141777, 145.123041]}",-38.141777,145.123041
110,Sibelius Software,Sibelius Australia,Edwardstown,2/52 Weaver Street,"{'type': 'Point', 'coordinates': [-34.985993, 138.570233]}",-34.985993,138.570233
111,Cinergix,World HQ,Melbourne,61/39 Rathdowne Street,"{'type': 'Point', 'coordinates': [-37.793125, 144.971266]}",-37.793125,144.971266
112,uTag,World HQ,Sydney,,"{'type': 'Point', 'coordinates': [-33.867139, 151.207114]}",-33.867139,151.207114
113,DirectMoney,Head Office,Balmain,15 Barr Street,"{'type': 'Point', 'coordinates': [-33.857834, 151.175409]}",-33.857834,151.175409
114,Amethon Solutions,Headquarters,Chatswood,Level 6,"{'type': 'Point', 'coordinates': [-33.83639, 151.21085]}",-33.83639,151.21085
115,Amethon Solutions,Melbourne,Melbourne,Level 5,"{'type': 'Point', 'coordinates': [-38.37331, 144.817624]}",-38.37331,144.817624
116,Viocorp,Sydney Office,Pyrmont,"Level 2, 47 Murray St","{'type': 'Point', 'coordinates': [-33.876239, 151.215201]}",-33.876239,151.215201
117,Envato,Head Office,Melbourne,"L13, 2 Elizabeth St","{'type': 'Point', 'coordinates': [-37.812332, 144.968956]}",-37.812332,144.968956
119,Devnet,Australian Office,BRISBANE,1/94 James Street,"{'type': 'Point', 'coordinates': [-27.458989, 153.043228]}",-27.458989,153.043228
121,BuzzNumbers,Sydney,Bondi Junction,Suite 401a / 59-75 Grafton St,"{'type': 'Point', 'coordinates': [-33.884685, 151.216427]}",-33.884685,151.216427
122,hornet,,Balmain,Unit 48/22 Buchanan Street,"{'type': 'Point', 'coordinates': [-33.86322, 151.179693]}",-33.86322,151.179693
123,BonzaDat,,Queensland,42 Stuart Street,"{'type': 'Point', 'coordinates': [-27.621592, 152.778976]}",-27.621592,152.778976
124,Tony Bain Group,,Melbourne,,"{'type': 'Point', 'coordinates': [-37.813339, 144.970823]}",-37.813339,144.970823
125,Gigantiq,Melbourne,Melbourne,,"{'type': 'Point', 'coordinates': [-37.813339, 144.970823]}",-37.813339,144.970823
127,Clivir,Clivir HQ,Perth,,"{'type': 'Point', 'coordinates': [-31.9554, 115.85859]}",-31.9554,115.85859
128,GrabaDiscount,,Sydney,,"{'type': 'Point', 'coordinates': [-34.037717, 151.10537]}",-34.037717,151.10537
130,Beyond Software,Head Office,Melbourne,34/385 Bourke St,"{'type': 'Point', 'coordinates': [-37.814768, 144.962282]}",-37.814768,144.962282
131,MOZO,Sydney Office,Sydney,"Suite 8, Level 4, 46-58 Holt Street","{'type': 'Point', 'coordinates': [-33.88636, 151.209562]}",-33.88636,151.209562
132,Bytemobile,,Sydney,,"{'type': 'Point', 'coordinates': [-33.867139, 151.207114]}",-33.867139,151.207114
134,SinoTech Group,Australian Office,Sydney,Kent St.,"{'type': 'Point', 'coordinates': [-33.868778, 151.204586]}",-33.868778,151.204586
135,SitePoint,Head Office,"Collingwood, Victoria",48 Cambridge St,"{'type': 'Point', 'coordinates': [-37.807444, 144.985261]}",-37.807444,144.985261
137,Allure Media,,Darlinghurst,Level 4,"{'type': 'Point', 'coordinates': [-33.8719926, 151.1936039]}",-33.8719926,151.1936039
139,Webslug,Headquarters,Sydney,,"{'type': 'Point', 'coordinates': [-33.867139, 151.207114]}",-33.867139,151.207114
